"filename", "language", "PHP", "Markdown", "JSON", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\web\app2\.trae\rules\project_rules.md", "Markdown", 0, 4, 0, 0, 0, 0, 3, 7
"c:\web\app2\README.md", "Markdown", 0, 248, 0, 0, 0, 0, 47, 295
"c:\web\app2\admin\manage_developers.php", "PHP", 16, 0, 0, 0, 0, 1, 0, 17
"c:\web\app2\admin\review_apps.php", "PHP", 61, 0, 0, 0, 0, 4, 4, 69
"c:\web\app2\api.php", "PHP", 19, 0, 0, 0, 0, 2, 2, 23
"c:\web\app2\app.php", "PHP", 95, 0, 0, 0, 0, 7, 9, 111
"c:\web\app2\app_store.sql", "MS SQL", 0, 0, 0, 0, 21, 3, 4, 28
"c:\web\app2\app_store_update.sql", "MS SQL", 0, 0, 0, 0, -2, -1, 0, -3
"c:\web\app2\composer.json", "JSON", 0, 0, 5, 0, 0, 0, 1, 6
"c:\web\app2\composer.lock", "JSON", 0, 0, 100, 0, 0, 0, 1, 101
"c:\web\app2\config.php", "PHP", -4, 0, 0, 0, 0, 1, 2, -1
"c:\web\app2\developer\dashboard.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1
"c:\web\app2\developer\edit_app.php", "PHP", -68, 0, 0, 0, 0, 0, 0, -68
"c:\web\app2\developer\profile.php", "PHP", -3, 0, 0, 0, 0, 0, 1, -2
"c:\web\app2\developer\register.php", "PHP", 69, 0, 0, 0, 0, 15, 16, 100
"c:\web\app2\developer\upload_app.php", "PHP", 55, 0, 0, 0, 0, 2, 6, 63
"c:\web\app2\developer\verify_email.php", "PHP", 77, 0, 0, 0, 0, 5, 8, 90
"c:\web\app2\developer\version_control.php", "PHP", 209, 0, 0, 0, 0, 10, 13, 232
"c:\web\app2\developer_apps.php", "PHP", 34, 0, 0, 0, 0, 3, 5, 42
"c:\web\app2\docs\app_review_standards.php", "PHP", 196, 0, 0, 0, 0, 0, 18, 214
"c:\web\app2\docs\privacy_policy.php", "PHP", 37, 0, 0, 0, 0, 0, 9, 46
"c:\web\app2\includes\logger.php", "PHP", 30, 0, 0, 0, 0, 18, 8, 56
"c:\web\app2\index.php", "PHP", -1, 0, 0, 0, 0, 1, 0, 0
"c:\web\app2\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 5053, 0, 655, 598, 6306
"c:\web\app2\mail\verification_template.php", "PHP", 33, 0, 0, 0, 0, 6, 0, 39
"c:\web\app2\vendor\autoload.php", "PHP", 20, 0, 0, 0, 0, 1, 5, 26
"c:\web\app2\vendor\composer\ClassLoader.php", "PHP", 286, 0, 0, 0, 0, 235, 59, 580
"c:\web\app2\vendor\composer\InstalledVersions.php", "PHP", 178, 0, 0, 0, 0, 133, 49, 360
"c:\web\app2\vendor\composer\autoload_classmap.php", "PHP", 6, 0, 0, 0, 0, 1, 4, 11
"c:\web\app2\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 0, 0, 1, 4, 10
"c:\web\app2\vendor\composer\autoload_psr4.php", "PHP", 6, 0, 0, 0, 0, 1, 4, 11
"c:\web\app2\vendor\composer\autoload_real.php", "PHP", 25, 0, 0, 0, 0, 4, 10, 39
"c:\web\app2\vendor\composer\autoload_static.php", "PHP", 28, 0, 0, 0, 0, 1, 8, 37
"c:\web\app2\vendor\composer\installed.json", "JSON", 0, 0, 90, 0, 0, 0, 1, 91
"c:\web\app2\vendor\composer\installed.php", "PHP", 32, 0, 0, 0, 0, 0, 1, 33
"c:\web\app2\vendor\composer\platform_check.php", "PHP", 21, 0, 0, 0, 0, 1, 5, 27
"c:\web\app2\vendor\phpmailer\phpmailer\README.md", "Markdown", 0, 169, 0, 0, 0, 0, 64, 233
"c:\web\app2\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", 0, 19, 0, 0, 0, 0, 19, 38
"c:\web\app2\vendor\phpmailer\phpmailer\SMTPUTF8.md", "Markdown", 0, 27, 0, 0, 0, 0, 22, 49
"c:\web\app2\vendor\phpmailer\phpmailer\composer.json", "JSON", 0, 0, 80, 0, 0, 0, 1, 81
"c:\web\app2\vendor\phpmailer\phpmailer\get_oauth_token.php", "PHP", 117, 0, 0, 0, 0, 48, 18, 183
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 0, 0, 4, 3, 27
