Date : 2025-07-09 15:40:50
Directory : d:\app2
Total : 105 files,  12779 codes, 4573 comments, 1852 blanks, all 19204 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |         93 |      6,965 |      3,916 |      1,091 |     11,972 |
| JavaScript |          1 |      5,053 |        655 |        598 |      6,306 |
| Markdown   |          5 |        467 |          0 |        155 |        622 |
| JSON       |          4 |        275 |          0 |          4 |        279 |
| MS SQL     |          2 |         19 |          2 |          4 |         25 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                      |        105 |     12,779 |      4,573 |      1,852 |     19,204 |
| . (Files)                                                              |         10 |        515 |         16 |         71 |        602 |
| .trae                                                                  |          1 |          4 |          0 |          3 |          7 |
| .trae\rules                                                            |          1 |          4 |          0 |          3 |          7 |
| admin                                                                  |          2 |         77 |          5 |          4 |         86 |
| developer                                                              |          7 |        340 |         32 |         44 |        416 |
| docs                                                                   |          2 |        233 |          0 |         27 |        260 |
| includes                                                               |          1 |         30 |         18 |          8 |         56 |
| js                                                                     |          1 |      5,053 |        655 |        598 |      6,306 |
| mail                                                                   |          1 |         33 |          6 |          0 |         39 |
| vendor                                                                 |         80 |      6,494 |      3,841 |      1,097 |     11,432 |
| vendor (Files)                                                         |          1 |         20 |          1 |          5 |         26 |
| vendor\composer                                                        |         10 |        677 |        377 |        145 |      1,199 |
| vendor\phpmailer                                                       |         69 |      5,797 |      3,463 |        947 |     10,207 |
| vendor\phpmailer\phpmailer                                             |         69 |      5,797 |      3,463 |        947 |     10,207 |
| vendor\phpmailer\phpmailer (Files)                                     |          5 |        412 |         48 |        124 |        584 |
| vendor\phpmailer\phpmailer\language                                    |         57 |      1,263 |        336 |        171 |      1,770 |
| vendor\phpmailer\phpmailer\src                                         |          7 |      4,122 |      3,079 |        652 |      7,853 |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                               | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\app2\.trae\rules\project_rules.md                                   | Markdown   |          4 |          0 |          3 |          7 |
| d:\app2\README.md                                                      | Markdown   |        248 |          0 |         47 |        295 |
| d:\app2\admin\manage_developers.php                                    | PHP        |         16 |          1 |          0 |         17 |
| d:\app2\admin\review_apps.php                                          | PHP        |         61 |          4 |          4 |         69 |
| d:\app2\api.php                                                        | PHP        |         19 |          2 |          2 |         23 |
| d:\app2\app.php                                                        | PHP        |         95 |          7 |          9 |        111 |
| d:\app2\app_store.sql                                                  | MS SQL     |         21 |          3 |          4 |         28 |
| d:\app2\app_store_update.sql                                           | MS SQL     |         -2 |         -1 |          0 |         -3 |
| d:\app2\composer.json                                                  | JSON       |          5 |          0 |          1 |          6 |
| d:\app2\composer.lock                                                  | JSON       |        100 |          0 |          1 |        101 |
| d:\app2\config.php                                                     | PHP        |         -4 |          1 |          2 |         -1 |
| d:\app2\developer\dashboard.php                                        | PHP        |          1 |          0 |          0 |          1 |
| d:\app2\developer\edit_app.php                                         | PHP        |        -68 |          0 |          0 |        -68 |
| d:\app2\developer\profile.php                                          | PHP        |         -3 |          0 |          1 |         -2 |
| d:\app2\developer\register.php                                         | PHP        |         69 |         15 |         16 |        100 |
| d:\app2\developer\upload_app.php                                       | PHP        |         55 |          2 |          6 |         63 |
| d:\app2\developer\verify_email.php                                     | PHP        |         77 |          5 |          8 |         90 |
| d:\app2\developer\version_control.php                                  | PHP        |        209 |         10 |         13 |        232 |
| d:\app2\developer_apps.php                                             | PHP        |         34 |          3 |          5 |         42 |
| d:\app2\docs\app_review_standards.php                                  | PHP        |        196 |          0 |         18 |        214 |
| d:\app2\docs\privacy_policy.php                                        | PHP        |         37 |          0 |          9 |         46 |
| d:\app2\includes\logger.php                                            | PHP        |         30 |         18 |          8 |         56 |
| d:\app2\index.php                                                      | PHP        |         -1 |          1 |          0 |          0 |
| d:\app2\js\bootstrap.bundle.js                                         | JavaScript |      5,053 |        655 |        598 |      6,306 |
| d:\app2\mail\verification_template.php                                 | PHP        |         33 |          6 |          0 |         39 |
| d:\app2\vendor\autoload.php                                            | PHP        |         20 |          1 |          5 |         26 |
| d:\app2\vendor\composer\ClassLoader.php                                | PHP        |        286 |        235 |         59 |        580 |
| d:\app2\vendor\composer\InstalledVersions.php                          | PHP        |        178 |        133 |         49 |        360 |
| d:\app2\vendor\composer\autoload_classmap.php                          | PHP        |          6 |          1 |          4 |         11 |
| d:\app2\vendor\composer\autoload_namespaces.php                        | PHP        |          5 |          1 |          4 |         10 |
